index,type,type,name,usage(KB),total(KB)
100,  xmodel,xmodel,com_airduct_c_scale,2.4,2.4
101,  xmodel,xmodel,com_airduct_c_vent,27.2,27.2
102,  xmodel,xmodel,ch_street_light_01_off,40.7,41.1
103,  xmodel,xmodel,com_basketball_goal,38.2,38.8
104,  xmodel,xmodel,me_streetlight_on,27.3,27.7
105,  xmodel,xmodel,bathroom_shower,80.5,81.4
106,  xmodel,xmodel,me_wood_cage_small,70.0,70.2
107,  xmodel,xmodel,me_wood_cage_large,68.1,68.1
108,  xmodel,xmodel,com_cardboardboxshortclosed_1,3.4,3.4
109,  xmodel,xmodel,me_citrus_box1,1.7,1.8
110,  xmodel,xmodel,com_cardboardboxshortclosed_2,8.0,8.0
111,  xmodel,xmodel,me_banana_box2,1.6,1.7
112,  xmodel,xmodel,me_refrigerator2,46.3,46.5
113,  xmodel,xmodel,com_satellite_dish_big,181.0,181.6
114,  xmodel,xmodel,com_longdiningtable,16.5,16.5
115,  xmodel,xmodel,com_wheelbarrow,121.3,121.5
116,  xmodel,xmodel,com_northafrica_woodchair,17.3,17.6
117,  xmodel,xmodel,com_water_tower,411.3,411.8
118,  xmodel,xmodel,ch_haycart_destroyed,188.4,188.6
119,  xmodel,xmodel,com_walltable2,12.6,12.6
120,  xmodel,xmodel,ch_road_post,13.5,14.1
121,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.2,2.2
122,  techset,techset,sm2/mc_effect_falloff_add_nofog_eyeoffset,1.7,1.7
123,  techset,techset,mc_effect_zfeather_falloff_add_nofog_eyeoffset,2.0,2.0
124,  techset,techset,mc_effect_falloff_add_nofog_eyeoffset,1.5,1.5
125,  techset,techset,sm2/mc_effect_falloff_add_nofog,1.2,1.2
126,  techset,techset,mc_effect_falloff_add_nofog,1.1,1.1
127,  xmodel,xmodel,com_floodlight_on,246.9,248.0
128,  xmodel,xmodel,bc_cot,35.9,36.1
129,  xmodel,xmodel,com_armoire,26.0,26.3
130,  xmodel,xmodel,com_photocopier,30.2,30.5
131,  xmodel,xmodel,com_bench,22.2,22.4
132,  techset,techset,sm2/mc_ambient_t0c0,13.0,13.0
133,  techset,techset,mc_ambient_t0c0,12.9,12.9
134,  xmodel,xmodel,foliage_grass_short_squareclump,1.2,1.4
135,  xmodel,xmodel,com_powerline_tower,350.7,351.0
136,  xmodel,xmodel,com_industrialtrashbin,288.6,288.8
137,  xmodel,xmodel,ap_couch01,54.3,54.6
138,  xmodel,xmodel,com_restaurantsink_1comp,157.0,157.0
139,  xmodel,xmodel,com_restaurantkitchentable_3,41.1,41.4
140,  xmodel,xmodel,com_restaurantstainlessteelshelf_01,60.1,60.1
141,  xmodel,xmodel,com_restaurantkitchentable_2,41.1,41.1
142,  xmodel,xmodel,me_lightfluohang_on,32.5,32.8
143,  xmodel,xmodel,com_computer_rack,17.3,17.6
144,  xmodel,xmodel,com_bookshelveswide,8.0,8.0
145,  xmodel,xmodel,com_books1,5.9,6.1
146,  xmodel,xmodel,com_bunker_table,12.7,12.7
147,  xmodel,xmodel,com_bunker_seat,10.6,10.6
148,  techset,techset,sm2/mc_effect_zfeather_falloff_add_nofog,1.5,1.5
149,  techset,techset,mc_effect_zfeather_falloff_add_nofog,1.4,1.4
150,  xmodel,xmodel,com_studio_light_on,87.3,87.9
151,  xmodel,xmodel,com_tripod,190.3,190.3
152,  xmodel,xmodel,com_bike,225.9,226.1
153,  xmodel,xmodel,com_junktire2,48.2,48.5
154,  xmodel,xmodel,bc_military_tire04_big,51.2,51.5
155,  xmodel,xmodel,com_junktire,6.0,6.3
156,  xmodel,xmodel,foliage_dead_pine_xl,208.1,208.5
157,  xmodel,xmodel,foliage_dead_pine_med,177.8,177.8
158,  xmodel,xmodel,com_flower_pot02,53.3,53.8
159,  xmodel,xmodel,com_potted_plant02,43.3,43.5
160,  xmodel,xmodel,com_filecabinetblackclosed,17.7,17.8
161,  xmodel,xmodel,com_paintcan,32.1,32.4
162,  xmodel,xmodel,com_trashbag1_black,29.3,29.5
163,  xmodel,xmodel,com_trashbag2_green,46.4,46.6
164,  techset,techset,sm2/mc_l_t0c0,14.2,14.2
165,  techset,techset,mc_l_t0c0,14.3,14.3
166,  techset,techset,mc_l_t0c0s0,19.5,19.5
167,  xmodel,xmodel,foliage_tree_pine_sm_b,58.2,58.6
168,  xmodel,xmodel,foliage_red_pine_med,336.9,337.2
169,  xmodel,xmodel,foliage_red_pine_xl,380.5,380.5
170,  xmodel,xmodel,foliage_ivy_tree,3.8,4.0
171,  xmodel,xmodel,foliage_red_pine_xxl,333.3,333.3
172,  xmodel,xmodel,foliage_tree_river_birch_lg_a,286.2,286.6
173,  xmodel,xmodel,foliage_tree_destroyed_tree_a,197.4,197.8
174,  xmodel,xmodel,com_barrel_fire,67.5,68.0
175,  xmodel,xmodel,com_crate01,15.2,15.4
176,  xmodel,xmodel,vehicle_pickup_nodoor_static,524.2,524.8
177,  xmodel,xmodel,com_red_toolbox,21.7,21.9
178,  xmodel,xmodel,com_plastic_bucket,57.9,58.4
179,  xmodel,xmodel,com_trashbag1_green,8.6,8.6
180,  xmodel,xmodel,com_transistor_radio,44.7,45.0
181,  xmodel,xmodel,com_tv2,24.3,24.5
182,  xmodel,xmodel,me_ac_window,6.8,7.0
183,  xmodel,xmodel,me_electricbox3,8.4,8.4
184,  xmodel,xmodel,me_plastic_crate1,6.4,6.5
185,  xmodel,xmodel,me_plastic_crate2,3.3,3.3
186,  xmodel,xmodel,me_plastic_crate3,3.0,3.2
187,  xmodel,xmodel,com_bottle1,10.3,10.6
188,  xmodel,xmodel,com_soup_can,5.7,5.9
189,  xmodel,xmodel,com_walltable1_d,18.4,18.4
190,  xmodel,xmodel,ch_mattress_bent_2,24.3,24.3
191,  xmodel,xmodel,com_ladder_wood,16.7,16.9
192,  xmodel,xmodel,com_pallet_stack,228.9,228.9
193,  xmodel,xmodel,com_bedroll,52.9,53.1
194,  xmodel,xmodel,vehicle_pickup_roobars,671.1,671.1
195,  xmodel,xmodel,me_transmitting_tower,845.1,845.1
196,  xmodel,xmodel,com_barrel_biohazard,45.2,45.6
197,  xmodel,xmodel,com_barrel_black_rust,12.9,13.1
